ore; minuti; secondi; corrente; tensione; lemcurr; lemref; (temperatura/100);
17; 53; 33.640; 0.000; 3.484; 2.582; 2.512; 0.314;
17; 53; 33.690; 0.000; 3.485; 2.583; 2.511; 0.314;
17; 53; 33.740; 0.000; 3.486; 2.582; 2.513; 0.313;
17; 53; 33.790; 0.000; 3.488; 2.581; 2.512; 0.314;
17; 53; 33.840; 0.000; 3.490; 2.579; 2.513; 0.314;
17; 53; 33.890; 0.000; 3.491; 2.578; 2.513; 0.314;
17; 53; 33.940; 0.000; 3.491; 2.577; 2.512; 0.314;
17; 53; 33.990; 0.000; 3.491; 2.578; 2.513; 0.314;
17; 53; 34.040; 0.000; 3.492; 2.576; 2.512; 0.314;
17; 53; 34.090; 0.000; 3.491; 2.576; 2.512; 0.314;
17; 53; 34.140; 0.000; 3.491; 2.575; 2.512; 0.314;
17; 53; 34.190; 0.000; 3.491; 2.575; 2.513; 0.314;
17; 53; 34.240; 0.000; 3.490; 2.574; 2.511; 0.314;
17; 53; 34.290; 0.000; 3.489; 2.576; 2.511; 0.314;
17; 53; 34.340; 0.000; 3.489; 2.575; 2.511; 0.314;
17; 53; 34.390; 0.000; 3.488; 2.576; 2.510; 0.314;
17; 53; 34.440; 0.000; 3.488; 2.575; 2.510; 0.314;
17; 53; 34.490; 0.000; 3.488; 2.575; 2.510; 0.314;
17; 53; 34.540; 0.000; 3.488; 2.575; 2.511; 0.314;
17; 53; 34.590; 0.000; 3.487; 2.576; 2.510; 0.314;
17; 53; 34.640; 0.000; 3.487; 2.576; 2.510; 0.314;
17; 53; 34.690; 0.000; 3.486; 2.577; 2.509; 0.314;
17; 53; 34.740; 0.000; 3.486; 2.577; 2.511; 0.313;
17; 53; 34.790; 0.000; 3.486; 2.577; 2.510; 0.314;
17; 53; 34.840; 0.000; 3.485; 2.577; 2.510; 0.314;
17; 53; 34.890; 0.000; 3.485; 2.578; 2.510; 0.314;
17; 53; 34.940; 0.000; 3.483; 2.578; 2.510; 0.314;
17; 53; 34.990; 0.000; 3.484; 2.577; 2.511; 0.314;
17; 53; 35.040; 0.000; 3.484; 2.577; 2.511; 0.314;
17; 53; 35.090; 0.000; 3.486; 2.576; 2.511; 0.314;
17; 53; 34.096; 2.000; 3.491; 2.570; 2.512; 0.313;
17; 53; 34.146; 2.000; 3.491; 2.570; 2.511; 0.314;
17; 53; 34.196; 2.000; 3.490; 2.570; 2.511; 0.314;
17; 53; 34.246; 2.000; 3.490; 2.570; 2.511; 0.314;
17; 53; 34.296; 2.000; 3.490; 2.570; 2.511; 0.314;
17; 53; 34.346; 2.000; 3.490; 2.570; 2.510; 0.314;
17; 53; 34.396; 2.000; 3.490; 2.569; 2.510; 0.314;
17; 53; 34.446; 2.000; 3.490; 2.569; 2.511; 0.314;
17; 53; 34.496; 2.000; 3.490; 2.570; 2.511; 0.313;
17; 53; 34.546; 2.000; 3.488; 2.571; 2.510; 0.314;
17; 53; 34.596; 2.000; 3.488; 2.572; 2.510; 0.314;
17; 53; 34.646; 2.000; 3.488; 2.571; 2.509; 0.314;
17; 53; 34.696; 2.000; 3.486; 2.573; 2.509; 0.314;
17; 53; 34.746; 2.000; 3.486; 2.572; 2.509; 0.314;
17; 53; 34.796; 2.000; 3.486; 2.573; 2.509; 0.314;
17; 53; 34.846; 2.000; 3.485; 2.573; 2.510; 0.314;
17; 53; 34.896; 2.000; 3.486; 2.573; 2.510; 0.314;
17; 53; 34.946; 2.000; 3.487; 2.574; 2.511; 0.313;
17; 53; 34.996; 2.000; 3.487; 2.572; 2.511; 0.314;
17; 53; 35.046; 2.000; 3.490; 2.570; 2.511; 0.313;
17; 53; 35.096; 2.000; 3.491; 2.570; 2.511; 0.314;
17; 53; 35.146; 2.000; 3.492; 2.568; 2.511; 0.313;
17; 53; 35.196; 2.000; 3.493; 2.567; 2.512; 0.314;
17; 53; 35.246; 2.000; 3.494; 2.566; 2.512; 0.314;
17; 53; 35.296; 2.000; 3.494; 2.565; 2.511; 0.314;
17; 53; 35.346; 2.000; 3.494; 2.565; 2.511; 0.314;
17; 53; 35.396; 2.000; 3.494; 2.565; 2.511; 0.314;
17; 53; 35.446; 2.000; 3.493; 2.564; 2.511; 0.314;
17; 53; 35.496; 2.000; 3.492; 2.564; 2.511; 0.313;
17; 53; 35.546; 2.000; 3.491; 2.565; 2.510; 0.313;
17; 53; 36.046; 1.800; 3.489; 2.567; 2.508; 0.313;
17; 53; 36.096; 1.800; 3.488; 2.569; 2.509; 0.298;
17; 53; 36.146; 1.800; 3.487; 2.570; 2.509; 0.319;
17; 53; 36.196; 1.800; 3.487; 2.569; 2.510; 0.356;
17; 53; 36.246; 1.800; 3.487; 2.569; 2.510; 0.314;
17; 53; 36.296; 1.800; 3.488; 2.568; 2.510; 0.315;
17; 53; 36.346; 1.800; 3.491; 2.567; 2.511; 0.334;
17; 53; 36.396; 1.800; 3.493; 2.566; 2.511; 0.330;
17; 53; 36.446; 1.800; 3.495; 2.565; 2.511; 0.312;
17; 53; 36.496; 1.800; 3.496; 2.563; 2.511; 0.274;
17; 53; 36.546; 1.800; 3.496; 2.562; 2.510; 0.311;
17; 53; 36.596; 1.800; 3.493; 2.561; 2.511; 0.310;
17; 53; 36.646; 1.800; 3.493; 2.562; 2.510; 0.287;
17; 53; 36.696; 1.800; 3.491; 2.563; 2.509; 0.315;
17; 53; 36.746; 1.800; 3.490; 2.565; 2.509; 0.314;
17; 53; 36.796; 1.800; 3.490; 2.565; 2.509; 0.315;
17; 53; 36.846; 1.800; 3.489; 2.565; 2.509; 0.316;
17; 53; 36.896; 1.800; 3.489; 2.566; 2.510; 0.332;
17; 53; 36.946; 1.800; 3.488; 2.566; 2.510; 0.344;
17; 53; 36.996; 1.800; 3.489; 2.565; 2.510; 0.316;
