ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura/100;
16; 20; 13.538;-0.060; 3.554; 2.506; 2.504; 0.305;
16; 20; 13.588;-0.060; 3.554; 2.505; 2.505; 0.321;
16; 20; 13.638;-0.060; 3.554; 2.506; 2.505; 0.312;
16; 20; 13.688;-0.060; 3.554; 2.505; 2.505; 0.308;
16; 20; 13.738;-0.060; 3.554; 2.506; 2.504; 0.326;
16; 20; 13.788;-0.060; 3.554; 2.507; 2.505; 0.300;
16; 20; 13.838;-0.060; 3.554; 2.506; 2.505; 0.315;
16; 20; 13.888;-0.060; 3.554; 2.507; 2.504; 0.325;
16; 20; 13.938;-0.060; 3.554; 2.506; 2.505; 0.300;
16; 20; 13.988;-0.060; 3.554; 2.507; 2.505; 0.316;
16; 20; 14.038;-0.060; 3.554; 2.506; 2.505; 0.323;
16; 20; 14.088;-0.060; 3.554; 2.506; 2.505; 0.301;
16; 20; 14.138;-0.060; 3.553; 2.507; 2.504; 0.320;
16; 20; 14.188;-0.060; 3.554; 2.506; 2.504; 0.314;
16; 20; 14.238;-0.060; 3.553; 2.507; 2.505; 0.308;
16; 20; 14.288;-0.060; 3.554; 2.506; 2.504; 0.320;
16; 20; 14.338;-0.060; 3.554; 2.506; 2.505; 0.312;
16; 20; 14.388;-0.060; 3.554; 2.506; 2.504; 0.307;
16; 20; 14.438;-0.060; 3.554; 2.507; 2.504; 0.325;
16; 20; 14.488;-0.060; 3.554; 2.507; 2.505; 0.301;
16; 20; 14.538;-0.060; 3.553; 2.506; 2.504; 0.317;
16; 20; 14.588;-0.060; 3.554; 2.506; 2.504; 0.320;
16; 20; 14.638;-0.060; 3.554; 2.505; 2.504; 0.303;
16; 20; 14.688;-0.060; 3.554; 2.507; 2.504; 0.319;
16; 20; 14.738;-0.060; 3.554; 2.506; 2.504; 0.313;
16; 20; 14.788;-0.060; 3.553; 2.506; 2.504; 0.307;
16; 20; 14.838;-0.060; 3.554; 2.506; 2.504; 0.321;
16; 20; 14.888;-0.060; 3.553; 2.506; 2.504; 0.310;
16; 20; 14.938;-0.060; 3.554; 2.505; 2.505; 0.309;
16; 20; 14.988;-0.060; 3.554; 2.507; 2.504; 0.325;
16; 20; 13.968;-0.060; 3.554; 2.506; 2.504; 0.303;
16; 20; 14.018;-0.060; 3.554; 2.507; 2.504; 0.319;
16; 20; 14.068;-0.060; 3.554; 2.506; 2.504; 0.314;
16; 20; 14.118;-0.060; 3.554; 2.506; 2.504; 0.308;
16; 20; 14.168;-0.060; 3.554; 2.507; 2.504; 0.325;
