ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
15; 54; 28.182; 0.000; 4.008; 2.579; 2.513; 0.480;
15; 54; 28.232; 0.000; 4.000; 2.582; 2.513; 0.479;
15; 54; 28.282; 0.000; 3.999; 2.583; 2.511; 0.480;
15; 54; 28.332; 0.000; 4.002; 2.582; 2.511; 0.480;
15; 54; 28.382; 0.000; 4.007; 2.578; 2.513; 0.479;
15; 54; 28.432; 0.000; 4.011; 2.577; 2.513; 0.479;
15; 54; 28.482; 0.000; 4.006; 2.579; 2.514; 0.479;
15; 54; 28.532; 0.000; 3.999; 2.582; 2.513; 0.478;
15; 54; 28.582; 0.000; 3.999; 2.582; 2.511; 0.479;
15; 54; 28.632; 0.000; 4.003; 2.580; 2.511; 0.479;
15; 54; 28.682; 0.000; 4.007; 2.577; 2.512; 0.479;
15; 54; 28.732; 0.000; 4.011; 2.574; 2.514; 0.479;
15; 54; 28.782; 0.000; 4.010; 2.576; 2.514; 0.479;
15; 54; 28.832; 0.000; 4.003; 2.581; 2.513; 0.480;
15; 54; 28.882; 0.000; 3.999; 2.581; 2.512; 0.479;
15; 54; 28.932; 0.000; 3.998; 2.582; 2.511; 0.479;
15; 54; 28.982; 0.000; 4.001; 2.580; 2.511; 0.479;
15; 54; 29.032; 0.000; 4.004; 2.578; 2.511; 0.478;
15; 54; 29.082; 0.000; 4.006; 2.574; 2.511; 0.479;
15; 54; 29.132; 0.000; 4.009; 2.573; 2.513; 0.479;
15; 54; 29.182; 0.000; 4.012; 2.572; 2.513; 0.478;
15; 54; 29.232; 0.000; 4.008; 2.576; 2.513; 0.479;
15; 54; 29.282; 0.000; 4.002; 2.577; 2.512; 0.479;
15; 54; 29.332; 0.000; 3.998; 2.580; 2.512; 0.479;
15; 54; 29.382; 0.000; 3.999; 2.580; 2.510; 0.478;
15; 54; 29.432; 0.000; 4.001; 2.577; 2.511; 0.478;
15; 54; 29.482; 0.000; 4.006; 2.574; 2.511; 0.478;
15; 54; 29.532; 0.000; 4.010; 2.572; 2.511; 0.478;
15; 54; 29.582; 0.000; 4.011; 2.572; 2.512; 0.478;
15; 54; 29.632; 0.000; 4.007; 2.575; 2.513; 0.477;
15; 54; 28.930; 1.970; 4.010; 2.569; 2.513; 0.477;
15; 54; 28.980; 1.970; 4.003; 2.574; 2.513; 0.478;
15; 54; 29.030; 1.970; 3.998; 2.575; 2.510; 0.478;
15; 54; 29.080; 1.970; 4.002; 2.574; 2.511; 0.477;
15; 54; 29.130; 1.970; 4.005; 2.571; 2.510; 0.477;
15; 54; 29.180; 1.970; 4.011; 2.567; 2.512; 0.477;
15; 54; 29.230; 1.970; 4.013; 2.568; 2.512; 0.476;
15; 54; 29.280; 1.970; 4.006; 2.571; 2.513; 0.478;
15; 54; 29.330; 1.970; 4.001; 2.574; 2.511; 0.476;
15; 54; 29.380; 1.970; 4.002; 2.573; 2.510; 0.476;
15; 54; 29.430; 1.970; 4.006; 2.569; 2.510; 0.476;
15; 54; 29.480; 1.970; 4.011; 2.566; 2.511; 0.477;
15; 54; 29.530; 1.970; 4.013; 2.566; 2.513; 0.477;
15; 54; 29.580; 1.970; 4.004; 2.572; 2.512; 0.478;
15; 54; 29.630; 1.970; 4.001; 2.572; 2.512; 0.471;
15; 54; 29.680; 1.970; 4.002; 2.571; 2.510; 0.480;
15; 54; 29.730; 1.970; 4.005; 2.569; 2.509; 0.476;
15; 54; 29.780; 1.970; 4.009; 2.566; 2.510; 0.476;
