ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
8; 54; 11.133; 0.000; 1.396; 2.509; 2.506; 0.313;
8; 54; 11.183; 0.000; 1.396; 2.509; 2.505; 0.313;
8; 54; 11.233; 0.000; 1.394; 2.510; 2.505; 0.313;
8; 54; 11.283; 0.000; 1.393; 2.510; 2.505; 0.314;
8; 54; 11.333; 0.000; 1.387; 2.509; 2.505; 0.314;
8; 54; 11.383; 0.000; 1.395; 2.510; 2.505; 0.313;
8; 54; 11.433; 0.000; 1.396; 2.510; 2.505; 0.313;
8; 54; 11.483; 0.000; 1.395; 2.510; 2.505; 0.308;
8; 54; 11.533; 0.000; 1.394; 2.511; 2.505; 0.314;
8; 54; 11.583; 0.000; 1.389; 2.510; 2.505; 0.316;
8; 54; 11.633; 0.000; 1.395; 2.510; 2.505; 0.313;
8; 54; 11.683; 0.000; 1.394; 2.510; 2.505; 0.313;
8; 54; 11.733; 0.000; 1.396; 2.509; 2.506; 0.309;
8; 54; 11.783; 0.000; 1.393; 2.509; 2.505; 0.315;
8; 54; 11.833; 0.000; 1.388; 2.510; 2.505; 0.317;
8; 54; 11.883; 0.000; 1.396; 2.510; 2.504; 0.313;
8; 54; 11.933; 0.000; 1.395; 2.510; 2.506; 0.313;
8; 54; 11.983; 0.000; 1.396; 2.510; 2.506; 0.313;
8; 54; 12.033; 0.000; 1.392; 2.510; 2.505; 0.314;
8; 54; 12.083; 0.000; 1.389; 2.511; 2.506; 0.314;
8; 54; 12.133; 0.000; 1.396; 2.510; 2.505; 0.313;
8; 54; 12.183; 0.000; 1.395; 2.509; 2.506; 0.313;
8; 54; 12.233; 0.000; 1.394; 2.510; 2.505; 0.311;
8; 54; 12.283; 0.000; 1.393; 2.510; 2.506; 0.314;
8; 54; 12.333; 0.000; 1.388; 2.509; 2.505; 0.314;
8; 54; 12.383; 0.000; 1.396; 2.509; 2.506; 0.313;
8; 54; 12.433; 0.000; 1.396; 2.510; 2.504; 0.313;
8; 54; 12.483; 0.000; 1.395; 2.510; 2.506; 0.307;
8; 54; 12.533; 0.000; 1.394; 2.510; 2.506; 0.318;
8; 54; 12.583; 0.000; 1.393; 2.510; 2.505; 0.313;
8; 54; 12.061; 0.000; 1.393; 2.510; 2.505; 0.313;
8; 54; 12.111; 0.000; 1.393; 2.509; 2.506; 0.313;
8; 54; 12.161; 0.000; 1.393; 2.510; 2.504; 0.313;
8; 54; 12.211; 0.000; 1.393; 2.510; 2.505; 0.313;
8; 54; 12.261; 0.000; 1.393; 2.509; 2.505; 0.314;
